Sex,Age,Height,Team,NOC,Games,Game Type,Year,Date,Season,City,Sport,Event,Medal,Did Medal
M,30,183,United States,USA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze,1
M,27,192,Italy,ITA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Water Polo,Water Polo Men's Water Polo,Silver,1
M,31,192,Italy,ITA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze,1
F,20,178,United States,USA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Heavyweight,Bronze,1
M,25,175,Russia,RUS,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Diving,Diving Men's Platform,Bronze,1
M,25,175,Russia,RUS,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Diving,Diving Men's Synchronized Platform,Bronze,1
M,23,170,Russia,RUS,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Judo,Judo Men's Extra-Lightweight,Gold,1
M,32,200,Italy,ITA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Rowing,Rowing Men's Double Sculls,Bronze,1
M,36,200,Italy,ITA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver,1
F,23,167,Australia,AUS,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,1
F,23,167,Australia,AUS,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,1
F,23,202,Russia,RUS,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Volleyball,Volleyball Women's Volleyball,Silver,1
M,31,176,France,FRA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Cycling,Cycling Men's Team Sprint,Bronze,1
M,19,182,Russia,RUS,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Fencing,"Fencing Men's Foil, Team",Bronze,1
M,22,185,South Korea,KOR,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Baseball,Baseball Men's Baseball,Gold,1
M,22,183,United States,USA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,1
M,26,183,United States,USA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,1
M,22,184,Brazil,BRA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Football,Football Men's Football,Silver,1
F,41,168,China,CHN,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Shooting,Shooting Women's Double Trap,Bronze,1
F,22,155,China,CHN,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Judo,Judo Women's Extra-Lightweight,Bronze,1
